id,title,genres
2,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
3,Grumpier Old Men (1995),Comedy|Romance
4,Waiting to Exhale (1995),Comedy|Drama|Romance
5,Father of the Bride Part II (1995),Comedy
6,Heat (1995),Action|Crime|Thriller
7,Tom and Huck (1995),Adventure|Children
8,Sabrina (1995),Comedy|Romance
9,Sudden Death (1995),Action
10,GoldenEye (1995),Action|Adventure|Thriller
11,"American President, The (1995)",Comedy|Drama|Romance
12,Dracula: Dead and Loving It (1995),Comedy|Horror
13,Balto (1995),Adventure|Animation|Children
14,Nixon (1995),Drama
15,Cutthroat Island (1995),Action|Adventure|Romance
16,Casino (1995),Crime|Drama
17,Ace Ventura: When Nature Calls (1995),Comedy
18,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
19,Get Shorty (1995),Comedy|Crime|Thriller
20,Copycat (1995),Copycat (1995)
21,Assassins (1995),Action|Crime|Thriller
22,Powder (1995),Drama|Sci-Fi
23,Braveheart (1995),Action|Drama|War
24,Anne Frank Remembered (1995),Anne Frank Remembered (1995)
25,Man of the Year (1995),Documentary
26,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
27,Beyond Rangoon (1995),Adventure|Drama|War
28,"Doom Generation, The (1995)",Comedy|Crime|Drama
29,"Prophecy, The (1995)",Fantasy|Horror|Mystery
30,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller
31,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
32,Castle Freak (1995),Horror
33,Little Women (1994),Drama
34,Love Affair (1994),Drama|Romance
35,New York Cop (NyÃ» YÃ´ku no koppu) (1993),Action|Crime
36,While You Were Sleeping (1995),Comedy|Romance
37,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
38,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",Documentary
39,"Mask, The (1994)",Action|Comedy|Crime|Fantasy
40,Timecop (1994),Action|Sci-Fi|Thriller
41,Boys Life (1995),Drama
42,Demolition Man (1993),Action|Adventure|Sci-Fi
43,Flesh and Bone (1993),Drama|Mystery|Romance
44,For Love or Money (1993),Comedy|Drama|Romance
45,"Perfect World, A (1993)",Crime|Drama|Thriller
46,Renaissance Man (1994),Comedy|Drama
47,"Shadow, The (1994)",Action|Adventure|Fantasy|Mystery
48,Blade Runner (1982),Action|Sci-Fi|Thriller
49,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller
50,Super Mario Bros. (1993),Action|Adventure|Children|Comedy|Fantasy|Sci-Fi
51,True Romance (1993),Crime|Thriller
